Title,Price,Rating
A Light in the Attic,Â51.77,3
Tipping the Velvet,Â53.74,1
Soumission,Â50.10,1
Sharp Objects,Â47.82,4
Sapiens: A Brief History of Humankind,Â54.23,5
The Requiem Red,Â22.65,1
The Dirty Little Secrets of Getting Your Dream Job,Â33.34,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â17.93,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â22.60,4
The Black Maria,Â52.15,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Â13.99,2
Shakespeare's Sonnets,Â20.66,4
Set Me Free,Â17.46,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,5
Rip it Up and Start Again,Â35.02,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â57.25,3
Olio,Â23.88,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Â37.59,1
Libertarianism for Beginners,Â51.33,2
It's Only the Himalayas,Â45.17,2
